    62/299     2.01G   0.05196   0.05212   0.01176    0.1158        48       640    0.9098    0.7189    0.7656    0.4476   0.04331   0.01929    0.0103
    63/299     2.01G   0.05501   0.05148    0.0112    0.1177       111       640     0.878    0.7031    0.7785     0.418   0.04363   0.02029   0.01055
    64/299     2.01G   0.05711   0.05367   0.01233    0.1231       225       640    0.9307    0.7177    0.7844    0.4384   0.04283   0.02032   0.01029
    65/299     2.01G   0.05078   0.05109   0.01203    0.1139       177       640    0.9282     0.722    0.7786    0.4234   0.04253   0.02029   0.01005
    66/299     2.01G   0.05149   0.05677   0.01135    0.1196       114       640    0.9215    0.7095    0.7615    0.4458   0.04327   0.01997  0.009861
    67/299     2.01G    0.0523   0.05016   0.01153     0.114        75       640    0.9626    0.7093    0.7761    0.4761   0.04012   0.01917   0.01063
    68/299     2.01G   0.05194   0.05147   0.01114    0.1146        94       640    0.9168    0.7014    0.7639    0.4706   0.04604   0.02006   0.01021
    69/299     2.01G    0.0516   0.04664   0.01141    0.1096        51       640    0.9118    0.6918    0.7553    0.4593   0.04284   0.01931   0.01011
    70/299     2.01G   0.05186   0.05196   0.01066    0.1145        73       640    0.8275     0.739    0.7695    0.4754   0.04364   0.01952   0.00986
    71/299     2.01G   0.05057   0.05388   0.01093    0.1154       192       640    0.9346    0.7431     0.779    0.4729    0.0416   0.01926  0.009973
    72/299     2.01G   0.05162   0.05381     0.011    0.1164       136       640    0.9661    0.7283    0.7886    0.4633   0.04384   0.01957   0.01011
    73/299     2.01G   0.05274   0.05432   0.01088    0.1179       112       640    0.8328    0.7498    0.7708     0.423   0.04507   0.01901  0.009578
    74/299     2.01G   0.05552    0.0543   0.01091    0.1207       229       640    0.9506    0.6845    0.7693    0.4564   0.04213   0.01866  0.009665
    75/299     2.01G   0.05202   0.04493   0.01085    0.1078       105       640    0.9474     0.722    0.7863    0.4886   0.04157   0.01882  0.009376
    76/299     2.01G   0.05265   0.05264   0.01045    0.1157        82       640    0.8626    0.7497    0.7772    0.4552   0.04287   0.01967  0.009484
    77/299     2.01G   0.05087   0.05463   0.01043    0.1159       167       640    0.9367    0.7234    0.7898    0.4889   0.03916   0.01866  0.008824
    78/299     2.01G    0.0476   0.04987   0.01059    0.1081        97       640    0.9297    0.7229    0.7886    0.4922    0.0383   0.01808  0.008753
